"Scenario","P","phi","correlated","heteroskedastic","block_length","Alternative_Means","Kupiec_SD_Multiplier","CRPS_Samples","Test","Rejection_Rate","MC_SE","N_Valid_Draws","Density_Reference","Density_Design"
"Null",100,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"WRC",0.084,0.0124051602166195,500,,""
"Null",100,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"SPA",0.104,0.013651666564929,500,,""
"Null",100,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"CPA",0.074,0.0117067501895274,500,,""
"Null",100,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"KLIC",0.078,0.0119929979571415,500,,"comparative_gaussian_forecasts"
"Null",100,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"ZP",0.038,0.00855055553750749,500,,"comparative_gaussian_forecasts"
"Null",100,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"CDF_RC",0.01,0.0044497190922574,500,,""
"Null",100,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"DM_mean_rejection_rate",0.086,0.0125382614424808,500,,""
"Null",100,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"Kupiec_mean_rejection_rate",0.098,0.0132963152790538,500,,""
"Null",150,0,TRUE,FALSE,5,"0;0;0;0;0",1,500,"WRC",0.038,0.00855055553750749,500,,""
"Null",150,0,TRUE,FALSE,5,"0;0;0;0;0",1,500,"SPA",0.048,0.00955991631762538,500,,""
"Null",150,0,TRUE,FALSE,5,"0;0;0;0;0",1,500,"CPA",0.056,0.0102824121683582,500,,""
"Null",150,0,TRUE,FALSE,5,"0;0;0;0;0",1,500,"KLIC",0.082,0.0122699633251286,500,,"comparative_gaussian_forecasts"
"Null",150,0,TRUE,FALSE,5,"0;0;0;0;0",1,500,"ZP",0.042,0.00897061870775924,500,,"comparative_gaussian_forecasts"
"Null",150,0,TRUE,FALSE,5,"0;0;0;0;0",1,500,"CDF_RC",0.012,0.00486949689393062,500,,""
"Null",150,0,TRUE,FALSE,5,"0;0;0;0;0",1,500,"DM_mean_rejection_rate",0.0568,0.0103512086250834,500,,""
"Null",150,0,TRUE,FALSE,5,"0;0;0;0;0",1,500,"Kupiec_mean_rejection_rate",0.0304,0.00767799973951549,500,,""
"Null",150,0.3,FALSE,FALSE,5,"0;0;0;0;0",1,500,"WRC",0.074,0.0117067501895274,500,,""
"Null",150,0.3,FALSE,FALSE,5,"0;0;0;0;0",1,500,"SPA",0.098,0.0132963152790538,500,,""
"Null",150,0.3,FALSE,FALSE,5,"0;0;0;0;0",1,500,"CPA",0.114,0.0142129518397833,500,,""
"Null",150,0.3,FALSE,FALSE,5,"0;0;0;0;0",1,500,"KLIC",0.074,0.0117067501895274,500,,"comparative_gaussian_forecasts"
"Null",150,0.3,FALSE,FALSE,5,"0;0;0;0;0",1,500,"ZP",0.038,0.00855055553750749,500,,"comparative_gaussian_forecasts"
"Null",150,0.3,FALSE,FALSE,5,"0;0;0;0;0",1,500,"CDF_RC",0.008,0.0039839678713564,500,,""
"Null",150,0.3,FALSE,FALSE,5,"0;0;0;0;0",1,500,"DM_mean_rejection_rate",0.0808,0.012187810303742,500,,""
"Null",150,0.3,FALSE,FALSE,5,"0;0;0;0;0",1,500,"Kupiec_mean_rejection_rate",0.0628,0.0108495308654338,500,,""
"Null",150,0.3,TRUE,FALSE,3,"0;0;0;0;0",1,500,"WRC",0.094,0.0130509769749241,500,,""
"Null",150,0.3,TRUE,FALSE,3,"0;0;0;0;0",1,500,"SPA",0.102,0.0135348439222623,500,,""
"Null",150,0.3,TRUE,FALSE,3,"0;0;0;0;0",1,500,"CPA",0.086,0.0125382614424808,500,,""
"Null",150,0.3,TRUE,FALSE,3,"0;0;0;0;0",1,500,"KLIC",0.098,0.0132963152790538,500,,"comparative_gaussian_forecasts"
"Null",150,0.3,TRUE,FALSE,3,"0;0;0;0;0",1,500,"ZP",0.03,0.00762889244910426,500,,"comparative_gaussian_forecasts"
"Null",150,0.3,TRUE,FALSE,3,"0;0;0;0;0",1,500,"CDF_RC",0.002,0.00199799899899875,500,,""
"Null",150,0.3,TRUE,FALSE,3,"0;0;0;0;0",1,500,"DM_mean_rejection_rate",0.088,0.0126693330526907,500,,""
"Null",150,0.3,TRUE,FALSE,3,"0;0;0;0;0",1,500,"Kupiec_mean_rejection_rate",0.0612,0.0107195671554406,500,,""
"Null",150,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"WRC",0.072,0.0115599307956406,500,,""
"Null",150,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"SPA",0.084,0.0124051602166195,500,,""
"Null",150,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"CPA",0.076,0.0118510759005248,500,,""
"Null",150,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"KLIC",0.096,0.0131745208641529,500,,"comparative_gaussian_forecasts"
"Null",150,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"ZP",0.022,0.00655987804764692,500,,"comparative_gaussian_forecasts"
"Null",150,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"CDF_RC",0,0,500,,""
"Null",150,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"DM_mean_rejection_rate",0.076,0.0118510759005248,500,,""
"Null",150,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"Kupiec_mean_rejection_rate",0.0588,0.0105206995965097,500,,""
"Null",150,0.3,TRUE,FALSE,8,"0;0;0;0;0",1,500,"WRC",0.06,0.0106207344378814,500,,""
"Null",150,0.3,TRUE,FALSE,8,"0;0;0;0;0",1,500,"SPA",0.08,0.0121326007104825,500,,""
"Null",150,0.3,TRUE,FALSE,8,"0;0;0;0;0",1,500,"CPA",0.07,0.0114105214604767,500,,""
"Null",150,0.3,TRUE,FALSE,8,"0;0;0;0;0",1,500,"KLIC",0.064,0.0109456840809517,500,,"comparative_gaussian_forecasts"
"Null",150,0.3,TRUE,FALSE,8,"0;0;0;0;0",1,500,"ZP",0.03,0.00762889244910426,500,,"comparative_gaussian_forecasts"
"Null",150,0.3,TRUE,FALSE,8,"0;0;0;0;0",1,500,"CDF_RC",0.014,0.00525433154644813,500,,""
"Null",150,0.3,TRUE,FALSE,8,"0;0;0;0;0",1,500,"DM_mean_rejection_rate",0.0787999999999999,0.012049112830412,500,,""
"Null",150,0.3,TRUE,FALSE,8,"0;0;0;0;0",1,500,"Kupiec_mean_rejection_rate",0.0564,0.0103168832502845,500,,""
"Null",150,0.3,TRUE,TRUE,5,"0;0;0;0;0",1,500,"WRC",0.078,0.0119929979571415,500,,""
"Null",150,0.3,TRUE,TRUE,5,"0;0;0;0;0",1,500,"SPA",0.092,0.01292563344676,500,,""
"Null",150,0.3,TRUE,TRUE,5,"0;0;0;0;0",1,500,"CPA",0.088,0.0126693330526907,500,,""
"Null",150,0.3,TRUE,TRUE,5,"0;0;0;0;0",1,500,"KLIC",0.096,0.0131745208641529,500,,"comparative_gaussian_forecasts"
"Null",150,0.3,TRUE,TRUE,5,"0;0;0;0;0",1,500,"ZP",0.038,0.00855055553750749,500,,"comparative_gaussian_forecasts"
"Null",150,0.3,TRUE,TRUE,5,"0;0;0;0;0",1,500,"CDF_RC",0.004,0.00282276460230038,500,,""
"Null",150,0.3,TRUE,TRUE,5,"0;0;0;0;0",1,500,"DM_mean_rejection_rate",0.084,0.0124051602166195,500,,""
"Null",150,0.3,TRUE,TRUE,5,"0;0;0;0;0",1,500,"Kupiec_mean_rejection_rate",0.0664,0.0111347240648343,500,,""
"Null",150,0.6,TRUE,FALSE,5,"0;0;0;0;0",1,500,"WRC",0.14,0.0155177317930167,500,,""
"Null",150,0.6,TRUE,FALSE,5,"0;0;0;0;0",1,500,"SPA",0.166,0.0166399519230075,500,,""
"Null",150,0.6,TRUE,FALSE,5,"0;0;0;0;0",1,500,"CPA",0.14,0.0155177317930167,500,,""
"Null",150,0.6,TRUE,FALSE,5,"0;0;0;0;0",1,500,"KLIC",0.098,0.0132963152790538,500,,"comparative_gaussian_forecasts"
"Null",150,0.6,TRUE,FALSE,5,"0;0;0;0;0",1,500,"ZP",0.034,0.00810481338464989,500,,"comparative_gaussian_forecasts"
"Null",150,0.6,TRUE,FALSE,5,"0;0;0;0;0",1,500,"CDF_RC",0.012,0.00486949689393062,500,,""
"Null",150,0.6,TRUE,FALSE,5,"0;0;0;0;0",1,500,"DM_mean_rejection_rate",0.1204,0.0145536139841621,500,,""
"Null",150,0.6,TRUE,FALSE,5,"0;0;0;0;0",1,500,"Kupiec_mean_rejection_rate",0.146,0.015791390059143,500,,""
"Null",250,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"WRC",0.068,0.0112584190719657,500,,""
"Null",250,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"SPA",0.072,0.0115599307956406,500,,""
"Null",250,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"CPA",0.062,0.0107848041243223,500,,""
"Null",250,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"KLIC",0.068,0.0112584190719657,500,,"comparative_gaussian_forecasts"
"Null",250,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"ZP",0.02,0.00626099033699941,500,,"comparative_gaussian_forecasts"
"Null",250,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"CDF_RC",0,0,500,,""
"Null",250,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"DM_mean_rejection_rate",0.0796,0.0121048618331644,500,,""
"Null",250,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"Kupiec_mean_rejection_rate",0.0912,0.0128749803883346,500,,""
"Alternative",100,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.69,0.0206833266183175,500,,""
"Alternative",100,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.728,0.0199005527561422,500,,""
"Alternative",100,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.624,0.0216621328589777,500,,""
"Alternative",100,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",0.984,0.00561141693336006,500,,"comparative_gaussian_forecasts"
"Alternative",100,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"ZP",0.124,0.0147393351274744,500,,"comparative_gaussian_forecasts"
"Alternative",100,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CDF_RC",0.012,0.00486949689393062,500,,""
"Alternative",100,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"DM_mean_rejection_rate",0.3304,0.021035010815305,500,,""
"Alternative",100,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.772,0.0187625158227781,500,,""
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.982,0.005945754788082,500,,""
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.978,0.00655987804764693,500,,""
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.866,0.0152344346793703,500,,""
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",1,0,500,,"comparative_gaussian_forecasts"
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"ZP",0.23,0.0188202019117755,500,,"comparative_gaussian_forecasts"
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CDF_RC",0.004,0.00282276460230038,500,,""
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"DM_mean_rejection_rate",0.5036,0.0223601001786665,500,,""
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.838,0.016477621187538,500,,""
"Alternative",150,0.3,FALSE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.928,0.0115599307956406,500,,""
"Alternative",150,0.3,FALSE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.942,0.0104533248299285,500,,""
"Alternative",150,0.3,FALSE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.83,0.016798809481627,500,,""
"Alternative",150,0.3,FALSE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",1,0,500,,"comparative_gaussian_forecasts"
"Alternative",150,0.3,FALSE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"ZP",0.182,0.0172554918793989,500,,"comparative_gaussian_forecasts"
"Alternative",150,0.3,FALSE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CDF_RC",0.008,0.0039839678713564,500,,""
"Alternative",150,0.3,FALSE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"DM_mean_rejection_rate",0.418,0.0220579237463547,500,,""
"Alternative",150,0.3,FALSE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.8268,0.0169234606390064,500,,""
"Alternative",150,0.3,TRUE,FALSE,3,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.846,0.016142118820031,500,,""
"Alternative",150,0.3,TRUE,FALSE,3,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.848,0.0160559023415067,500,,""
"Alternative",150,0.3,TRUE,FALSE,3,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.746,0.0194671004517879,500,,""
"Alternative",150,0.3,TRUE,FALSE,3,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",0.998,0.00199799899899875,500,,"comparative_gaussian_forecasts"
"Alternative",150,0.3,TRUE,FALSE,3,"0.3;0.3;0.15;0;0",0.6,500,"ZP",0.216,0.0184034779321736,500,,"comparative_gaussian_forecasts"
"Alternative",150,0.3,TRUE,FALSE,3,"0.3;0.3;0.15;0;0",0.6,500,"CDF_RC",0.006,0.00345369367489359,500,,""
"Alternative",150,0.3,TRUE,FALSE,3,"0.3;0.3;0.15;0;0",0.6,500,"DM_mean_rejection_rate",0.4076,0.0219755427691786,500,,""
"Alternative",150,0.3,TRUE,FALSE,3,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.8364,0.0165429767575246,500,,""
"Alternative",150,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.844,0.0162273842624127,500,,""
"Alternative",150,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.858,0.0156099967969247,500,,""
"Alternative",150,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.748,0.0194162818273736,500,,""
"Alternative",150,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",1,0,500,,"comparative_gaussian_forecasts"
"Alternative",150,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"ZP",0.184,0.0173288199251998,500,,"comparative_gaussian_forecasts"
"Alternative",150,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CDF_RC",0.012,0.00486949689393062,500,,""
"Alternative",150,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"DM_mean_rejection_rate",0.4,0.0219089023002066,500,,""
"Alternative",150,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.8072,0.0176424578786517,500,,""
"Alternative",150,0.3,TRUE,FALSE,8,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.816,0.0173288199251998,500,,""
"Alternative",150,0.3,TRUE,FALSE,8,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.836,0.0165592270351004,500,,""
"Alternative",150,0.3,TRUE,FALSE,8,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.704,0.0204148965219028,500,,""
"Alternative",150,0.3,TRUE,FALSE,8,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",0.998,0.00199799899899875,500,,"comparative_gaussian_forecasts"
