"Period","Forecast","Model"
1,130.256715279008,"BDMM-SS"
2,129.819899139767,"BDMM-SS"
3,130.175189034704,"BDMM-SS"
4,129.793487214533,"BDMM-SS"
5,129.966822995488,"BDMM-SS"
6,129.376723692356,"BDMM-SS"
7,129.785389986231,"BDMM-SS"
8,129.656190338625,"BDMM-SS"
9,130.26863519936,"BDMM-SS"
10,129.778738633884,"BDMM-SS"
11,130.71009600191,"BDMM-SS"
12,130.607139609158,"BDMM-SS"
13,130.420411269686,"BDMM-SS"
14,129.903525077566,"BDMM-SS"
15,130.307398562911,"BDMM-SS"
16,131.377264685101,"BDMM-SS"
17,131.263979028419,"BDMM-SS"
18,130.594653014697,"BDMM-SS"
19,129.753610684769,"BDMM-SS"
20,130.581771041453,"BDMM-SS"
21,129.222552285434,"BDMM-SS"
22,131.558922955131,"BDMM-SS"
23,130.55495716657,"BDMM-SS"
24,131.079300238837,"BDMM-SS"
25,130.288030926966,"BDMM-SS"
26,131.179781964124,"BDMM-SS"
27,129.838354514574,"BDMM-SS"
28,130.749676560999,"BDMM-SS"
29,130.174489043702,"BDMM-SS"
30,130.75159805195,"BDMM-SS"
31,129.809387098012,"BDMM-SS"
32,131.566823622049,"BDMM-SS"
33,130.753228994725,"BDMM-SS"
34,130.505374393097,"BDMM-SS"
35,130.30385553838,"BDMM-SS"
36,130.257593263566,"BDMM-SS"
37,130.215183181404,"BDMM-SS"
38,130.27529501027,"BDMM-SS"
39,131.128026598023,"BDMM-SS"
40,131.631878157695,"BDMM-SS"
41,131.163851706645,"BDMM-SS"
42,130.009658798328,"BDMM-SS"
43,130.848773444209,"BDMM-SS"
44,131.901274201243,"BDMM-SS"
45,131.859778490344,"BDMM-SS"
46,132.125922903511,"BDMM-SS"
47,131.373326744633,"BDMM-SS"
48,129.468849286181,"BDMM-SS"
49,131.571723511767,"BDMM-SS"
50,131.364573438006,"BDMM-SS"
51,130.456880013343,"BDMM-SS"
52,131.266016264703,"BDMM-SS"
53,131.009372077779,"BDMM-SS"
54,131.348869708923,"BDMM-SS"
55,131.792371892241,"BDMM-SS"
56,131.50827515556,"BDMM-SS"
57,131.265936234566,"BDMM-SS"
58,130.971204314295,"BDMM-SS"
59,131.824306677468,"BDMM-SS"
60,132.066038370548,"BDMM-SS"
61,132.153362555268,"BDMM-SS"
62,132.406742690872,"BDMM-SS"
63,130.599505001933,"BDMM-SS"
64,131.66599762258,"BDMM-SS"
65,130.841468077573,"BDMM-SS"
66,131.878539110602,"BDMM-SS"
67,131.701390123388,"BDMM-SS"
68,131.15496430379,"BDMM-SS"
69,131.658891603118,"BDMM-SS"
70,132.876621475681,"BDMM-SS"
71,131.850805489945,"BDMM-SS"
72,130.932690507944,"BDMM-SS"
73,132.510609329242,"BDMM-SS"
74,132.464513598629,"BDMM-SS"
75,131.492852138566,"BDMM-SS"
76,132.797327636686,"BDMM-SS"
77,131.864509974819,"BDMM-SS"
78,131.14743310548,"BDMM-SS"
79,131.678617694261,"BDMM-SS"
80,131.957974631361,"BDMM-SS"
81,132.132904597908,"BDMM-SS"
82,132.122030370192,"BDMM-SS"
83,132.51195167932,"BDMM-SS"
84,132.1259845867,"BDMM-SS"
85,132.255833179037,"BDMM-SS"
86,132.580002463409,"BDMM-SS"
87,132.168581957197,"BDMM-SS"
88,131.941232430527,"BDMM-SS"
89,132.167050092605,"BDMM-SS"
90,131.833764422335,"BDMM-SS"
91,132.694321460072,"BDMM-SS"
92,133.023631263418,"BDMM-SS"
93,132.303978340387,"BDMM-SS"
94,132.318621094266,"BDMM-SS"
95,132.423244863225,"BDMM-SS"
96,132.887192296446,"BDMM-SS"
97,133.96380261228,"BDMM-SS"
98,133.189059882729,"BDMM-SS"
99,133.175772667495,"BDMM-SS"
100,133.343425549226,"BDMM-SS"
101,132.781789477132,"BDMM-SS"
102,133.835546331465,"BDMM-SS"
103,133.160102766263,"BDMM-SS"
104,133.844452213395,"BDMM-SS"
105,133.475908033656,"BDMM-SS"
106,133.56690747823,"BDMM-SS"
107,132.332123687705,"BDMM-SS"
108,132.001160765527,"BDMM-SS"
109,132.833954884379,"BDMM-SS"
110,132.783164628514,"BDMM-SS"
111,132.726389666762,"BDMM-SS"
112,132.956110285722,"BDMM-SS"
113,133.584818905636,"BDMM-SS"
114,132.565291023455,"BDMM-SS"
115,132.585291851622,"BDMM-SS"
116,133.772946143615,"BDMM-SS"
117,133.106955793577,"BDMM-SS"
118,133.040232257903,"BDMM-SS"
119,132.164050151541,"BDMM-SS"
120,133.052568009311,"BDMM-SS"
121,133.299921866279,"BDMM-SS"
122,132.950619694354,"BDMM-SS"
123,131.965105669579,"BDMM-SS"
124,133.246662911246,"BDMM-SS"
125,132.669163198937,"BDMM-SS"
126,133.658567923151,"BDMM-SS"
127,133.027940551848,"BDMM-SS"
128,133.035404089521,"BDMM-SS"
129,133.706822977851,"BDMM-SS"
130,133.316456922078,"BDMM-SS"
131,133.179317392741,"BDMM-SS"
132,132.64366621303,"BDMM-SS"
133,133.513699951731,"BDMM-SS"
134,133.403866197419,"BDMM-SS"
135,132.474942331963,"BDMM-SS"
136,132.811641578275,"BDMM-SS"
137,132.584554169101,"BDMM-SS"
138,132.031232267683,"BDMM-SS"
139,133.498616681845,"BDMM-SS"
140,132.218594836939,"BDMM-SS"
141,133.26089623525,"BDMM-SS"
142,132.295563861582,"BDMM-SS"
143,133.331222800042,"BDMM-SS"
144,133.057005212745,"BDMM-SS"
145,133.361814498858,"BDMM-SS"
146,131.773034990149,"BDMM-SS"
147,132.644135993795,"BDMM-SS"
148,132.182161182353,"BDMM-SS"
149,132.732869149404,"BDMM-SS"
150,132.244753214181,"BDMM-SS"
151,132.797519342467,"BDMM-SS"
152,132.169680132348,"BDMM-SS"
153,132.344117374896,"BDMM-SS"
154,133.074229916577,"BDMM-SS"
155,131.222933986306,"BDMM-SS"
156,132.50756271624,"BDMM-SS"
157,132.526382425248,"BDMM-SS"
158,133.085787420168,"BDMM-SS"
159,133.094388535428,"BDMM-SS"
160,132.165761821424,"BDMM-SS"
161,133.762237643985,"BDMM-SS"
162,133.411285035207,"BDMM-SS"
163,133.433265202037,"BDMM-SS"
164,132.734103710287,"BDMM-SS"
165,134.130333824915,"BDMM-SS"
1,130.659301850807,"BDMM-NR"
2,130.615480591862,"BDMM-NR"
3,129.44910436646,"BDMM-NR"
4,130.164966996382,"BDMM-NR"
5,130.358144867131,"BDMM-NR"
6,129.701332661999,"BDMM-NR"
7,130.490692597257,"BDMM-NR"
8,130.908316437854,"BDMM-NR"
9,130.547729704707,"BDMM-NR"
10,130.456697331989,"BDMM-NR"
11,131.383634296664,"BDMM-NR"
12,130.136748137841,"BDMM-NR"
13,131.145492754032,"BDMM-NR"
14,131.346818479011,"BDMM-NR"
15,129.858592361584,"BDMM-NR"
16,129.736489028135,"BDMM-NR"
17,131.601924189889,"BDMM-NR"
18,130.600157185468,"BDMM-NR"
19,132.312910913735,"BDMM-NR"
20,131.016052025555,"BDMM-NR"
21,130.668176831479,"BDMM-NR"
22,129.633450791145,"BDMM-NR"
23,130.052462479612,"BDMM-NR"
24,129.621547343305,"BDMM-NR"
25,132.084257792488,"BDMM-NR"
26,129.374229207716,"BDMM-NR"
27,130.660511289709,"BDMM-NR"
28,131.135577945713,"BDMM-NR"
29,129.98567382643,"BDMM-NR"
30,130.474663180377,"BDMM-NR"
31,129.82289106072,"BDMM-NR"
32,130.444155603385,"BDMM-NR"
33,130.385407447333,"BDMM-NR"
34,130.301724157994,"BDMM-NR"
35,131.255154295054,"BDMM-NR"
36,130.520620458865,"BDMM-NR"
37,130.196336923877,"BDMM-NR"
38,131.627859115132,"BDMM-NR"
39,131.229369316216,"BDMM-NR"
40,130.097390951067,"BDMM-NR"
41,130.564600149592,"BDMM-NR"
42,131.486453944405,"BDMM-NR"
43,130.20738945067,"BDMM-NR"
44,131.616177103492,"BDMM-NR"
45,131.15594976787,"BDMM-NR"
46,130.353194014304,"BDMM-NR"
47,131.446015730823,"BDMM-NR"
48,129.620195042116,"BDMM-NR"
49,130.862428067279,"BDMM-NR"
50,131.206436097691,"BDMM-NR"
51,131.466577541632,"BDMM-NR"
52,131.485944589889,"BDMM-NR"
53,131.41405673082,"BDMM-NR"
54,132.401578311294,"BDMM-NR"
55,132.585514997629,"BDMM-NR"
56,132.903374051649,"BDMM-NR"
57,130.805106459792,"BDMM-NR"
58,131.215709460195,"BDMM-NR"
59,130.982955270119,"BDMM-NR"
