"Model","RMSE","NRMSE","MAE","MASE","ERC_Weight","Risk_Contribution"
"BDMM-SS",2.70980190989947,0.0205190417307013,2.13870765198553,0.74016300433438,0.0847208688739166,0.229576772282882
"BDMM-NR",2.63955476197659,0.019987119395557,2.0762303832947,0.718540898641774,0.0869755670880519,0.229576772282882
"BDMM-K",2.7383296062378,0.020735057886535,2.16571469316217,0.749509589276424,0.0838382537149345,0.229576772282882
"DMA",2.79170429170444,0.0211392193104575,2.24808975318717,0.778017913849782,0.0822353474059092,0.229576772282882
"DMS",2.78316925503687,0.0210745906846841,2.22095904822981,0.768628531400848,0.0824875353402969,0.229576772282882
"DMA-K",2.88315593191793,0.0218317053608313,2.28476381531798,0.79071005715543,0.0796269011125469,0.229576772282882
"B-LASSO",2.93983169574655,0.0222608630637875,2.31343704749244,0.800633276745786,0.0780918079817431,0.229576772282882
"B-RIDGE",2.86411261822455,0.0216875064262384,2.2496212753362,0.778547942362085,0.0801563356210467,0.229576772282882
"BMA",3.00764869415844,0.0227743839286821,2.36979016381616,0.820135938478465,0.0763309799873814,0.229576772282882
"BMS",3.04439168280469,0.0230526075562428,2.40541072779254,0.832463487605793,0.0754097357378735,0.229576772282882
"TVP-REG",3.51312932353941,0.0266019619115739,2.70200265247742,0.93510789056207,0.0653482269339255,0.229576772282882
"TVP-K",3.32240312062241,0.0251577534244165,2.74633236573909,0.950449498246776,0.0690996137277506,0.229576772282882
"Lin_reg",4.12323295620314,0.0312217615555795,3.31968867443751,1.14887639759709,0.0556788264746232,0.229576772282882
