"Model","RMSE","NRMSE","MAE","MASE","ERC_Weight","Risk_Contribution"
"BDMM-SS",4.24380962890524,0.0320899911117197,3.33498647406082,0.706279359997936,0.133333333333333,0.565841283854032
"BDMM-NR",4.30262627482509,0.0325347390645811,3.41844683784817,0.723954493849123,0.123809523809524,0.53270611021644
"BDMM-K",4.34674860535185,0.0328683744813982,3.392779077792,0.718518606991395,0.114285714285714,0.496771269183069
"DMA",4.2160765404778,0.0318802845888174,3.34340653491541,0.708062550196092,0.104761904761905,0.441684209002436
"DMS",4.39073503751599,0.0332009822891494,3.49069634629544,0.739255406456476,0.0952380952380952,0.41816524166819
"DMA-K",4.25250217145871,0.0321557206419464,3.40918201918658,0.72199240187493,0.0857142857142857,0.364500186125033
"B-LASSO",4.30196954859115,0.0325297731634563,3.42208633115298,0.724725261293618,0.0761904761904762,0.327769108464088
"B-RIDGE",4.32409533175091,0.0326970794865534,3.45107324560818,0.730864074613844,0.0666666666666667,0.288273022116727
"BMA",4.37295039630892,0.0330665019452686,3.48542238374025,0.738138493111518,0.0571428571428571,0.249882879789081
"BMS",4.46919991506488,0.0337943023113238,3.62385350504938,0.767455266814338,0.0476190476190476,0.212819043574518
"TVP-REG",4.76503936956761,0.0360313219459528,3.84002461475628,0.813235720258854,0.0380952380952381,0.181525309316861
"TVP-K",4.87590063553911,0.0368696105005167,3.79835967008023,0.804411969191486,0.0285714285714286,0.139311446729689
"AR_1",4.99916203278078,0.0378016638883412,4.09088811735061,0.866363286273664,0.019047619047619,0.0952221339577292
"Lin_reg",5.47049730969487,0.0413657127428877,4.21103012185193,0.891806813168914,0.00952380952380952,0.0520999743780463
