"Period","Model","Forecast","Cross_Sectional_Mean","Recentered_Draw"
100,"BDMM-SS",133.343425549226,132.961016412149,133.343425549226
100,"BDMM-NR",133.133618622985,132.961016412149,133.133618622985
100,"BDMM-K",133.188487671956,132.961016412149,133.188487671956
100,"DMA",133.939328070385,132.961016412149,133.939328070385
100,"DMS",133.914303189836,132.961016412149,133.914303189836
100,"DMA-K",133.243350199704,132.961016412149,133.243350199704
100,"B-LASSO",131.956912308113,132.961016412149,131.956912308113
100,"B-RIDGE",132.207396037834,132.961016412149,132.207396037834
100,"BMA",134.412729298738,132.961016412149,134.412729298738
100,"BMS",133.37921201669,132.961016412149,133.37921201669
100,"TVP-REG",132.280145687905,132.961016412149,132.280145687905
100,"TVP-K",132.29643904502,132.961016412149,132.29643904502
100,"AR_1",129.470592682901,132.961016412149,129.470592682901
100,"Lin_reg",134.68828938879,132.961016412149,134.68828938879
