"Scenario","P","phi","correlated","heteroskedastic","block_length","Alternative_Means","Kupiec_SD_Multiplier","CRPS_Samples","Test","Rejection_Rate","MC_SE","N_Valid_Draws"
"Null",100,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"WRC",0.086,0.0125382614424808,500
"Null",100,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"SPA",0.094,0.0130509769749241,500
"Null",100,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"CPA",0.086,0.0125382614424808,500
"Null",100,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"KLIC",0.076,0.0118510759005248,500
"Null",100,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"ZP",0.04,0.00876356092008266,500
"Null",100,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"CDF_RC",0.008,0.0039839678713564,500
"Null",100,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"DM_mean_rejection_rate",0.0888,0.0127212074898572,500
"Null",100,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"Kupiec_mean_rejection_rate",0.1048,0.0136979531317639,500
"Null",150,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"WRC",0.092,0.01292563344676,500
"Null",150,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"SPA",0.09,0.0127984374046209,500
"Null",150,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"CPA",0.082,0.0122699633251286,500
"Null",150,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"KLIC",0.092,0.01292563344676,500
"Null",150,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"ZP",0.018,0.005945754788082,500
"Null",150,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"CDF_RC",0.004,0.00282276460230038,500
"Null",150,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"DM_mean_rejection_rate",0.0788,0.012049112830412,500
"Null",150,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"Kupiec_mean_rejection_rate",0.0704,0.0114406153680648,500
"Null",250,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"WRC",0.074,0.0117067501895274,500
"Null",250,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"SPA",0.09,0.0127984374046209,500
"Null",250,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"CPA",0.076,0.0118510759005248,500
"Null",250,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"KLIC",0.07,0.0114105214604767,500
"Null",250,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"ZP",0.032,0.00787095928079926,500
"Null",250,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"CDF_RC",0.01,0.0044497190922574,500
"Null",250,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"DM_mean_rejection_rate",0.0688,0.0113195900985857,500
"Null",250,0.3,TRUE,FALSE,5,"0;0;0;0;0",1,500,"Kupiec_mean_rejection_rate",0.092,0.01292563344676,500
"Null",150,0,TRUE,FALSE,5,"0;0;0;0;0",1,500,"WRC",0.05,0.00974679434480896,500
"Null",150,0,TRUE,FALSE,5,"0;0;0;0;0",1,500,"SPA",0.054,0.0101078187557949,500
"Null",150,0,TRUE,FALSE,5,"0;0;0;0;0",1,500,"CPA",0.064,0.0109456840809517,500
"Null",150,0,TRUE,FALSE,5,"0;0;0;0;0",1,500,"KLIC",0.062,0.0107848041243223,500
"Null",150,0,TRUE,FALSE,5,"0;0;0;0;0",1,500,"ZP",0.046,0.00936845771725528,500
"Null",150,0,TRUE,FALSE,5,"0;0;0;0;0",1,500,"CDF_RC",0.006,0.00345369367489359,500
"Null",150,0,TRUE,FALSE,5,"0;0;0;0;0",1,500,"DM_mean_rejection_rate",0.054,0.0101078187557949,500
"Null",150,0,TRUE,FALSE,5,"0;0;0;0;0",1,500,"Kupiec_mean_rejection_rate",0.0384,0.00859365347218516,500
"Null",150,0.6,TRUE,FALSE,5,"0;0;0;0;0",1,500,"WRC",0.128,0.0149409504383088,500
"Null",150,0.6,TRUE,FALSE,5,"0;0;0;0;0",1,500,"SPA",0.168,0.0167198086113448,500
"Null",150,0.6,TRUE,FALSE,5,"0;0;0;0;0",1,500,"CPA",0.136,0.0153299706457645,500
"Null",150,0.6,TRUE,FALSE,5,"0;0;0;0;0",1,500,"KLIC",0.096,0.0131745208641529,500
"Null",150,0.6,TRUE,FALSE,5,"0;0;0;0;0",1,500,"ZP",0.02,0.00626099033699941,500
"Null",150,0.6,TRUE,FALSE,5,"0;0;0;0;0",1,500,"CDF_RC",0.01,0.0044497190922574,500
"Null",150,0.6,TRUE,FALSE,5,"0;0;0;0;0",1,500,"DM_mean_rejection_rate",0.1164,0.014342317804316,500
"Null",150,0.6,TRUE,FALSE,5,"0;0;0;0;0",1,500,"Kupiec_mean_rejection_rate",0.1432,0.0156648498237296,500
"Null",150,0.3,FALSE,FALSE,5,"0;0;0;0;0",1,500,"WRC",0.06,0.0106207344378814,500
"Null",150,0.3,FALSE,FALSE,5,"0;0;0;0;0",1,500,"SPA",0.09,0.0127984374046209,500
"Null",150,0.3,FALSE,FALSE,5,"0;0;0;0;0",1,500,"CPA",0.066,0.0111035129576184,500
"Null",150,0.3,FALSE,FALSE,5,"0;0;0;0;0",1,500,"KLIC",0.088,0.0126693330526907,500
"Null",150,0.3,FALSE,FALSE,5,"0;0;0;0;0",1,500,"ZP",0.016,0.00561141693336006,500
"Null",150,0.3,FALSE,FALSE,5,"0;0;0;0;0",1,500,"CDF_RC",0.006,0.00345369367489359,500
"Null",150,0.3,FALSE,FALSE,5,"0;0;0;0;0",1,500,"DM_mean_rejection_rate",0.074,0.0117067501895274,500
"Null",150,0.3,FALSE,FALSE,5,"0;0;0;0;0",1,500,"Kupiec_mean_rejection_rate",0.0756,0.0118224058465272,500
"Null",150,0.3,TRUE,TRUE,5,"0;0;0;0;0",1,500,"WRC",0.088,0.0126693330526907,500
"Null",150,0.3,TRUE,TRUE,5,"0;0;0;0;0",1,500,"SPA",0.1,0.0134164078649987,500
"Null",150,0.3,TRUE,TRUE,5,"0;0;0;0;0",1,500,"CPA",0.064,0.0109456840809517,500
"Null",150,0.3,TRUE,TRUE,5,"0;0;0;0;0",1,500,"KLIC",0.068,0.0112584190719657,500
"Null",150,0.3,TRUE,TRUE,5,"0;0;0;0;0",1,500,"ZP",0.036,0.0083311463797007,500
"Null",150,0.3,TRUE,TRUE,5,"0;0;0;0;0",1,500,"CDF_RC",0.002,0.00199799899899875,500
"Null",150,0.3,TRUE,TRUE,5,"0;0;0;0;0",1,500,"DM_mean_rejection_rate",0.0836,0.0123782906735946,500
"Null",150,0.3,TRUE,TRUE,5,"0;0;0;0;0",1,500,"Kupiec_mean_rejection_rate",0.0636,0.0109137564568759,500
"Null",150,0.3,TRUE,FALSE,3,"0;0;0;0;0",1,500,"WRC",0.09,0.0127984374046209,500
"Null",150,0.3,TRUE,FALSE,3,"0;0;0;0;0",1,500,"SPA",0.1,0.0134164078649987,500
"Null",150,0.3,TRUE,FALSE,3,"0;0;0;0;0",1,500,"CPA",0.078,0.0119929979571415,500
"Null",150,0.3,TRUE,FALSE,3,"0;0;0;0;0",1,500,"KLIC",0.076,0.0118510759005248,500
"Null",150,0.3,TRUE,FALSE,3,"0;0;0;0;0",1,500,"ZP",0.026,0.00711674082709213,500
"Null",150,0.3,TRUE,FALSE,3,"0;0;0;0;0",1,500,"CDF_RC",0.004,0.00282276460230038,500
"Null",150,0.3,TRUE,FALSE,3,"0;0;0;0;0",1,500,"DM_mean_rejection_rate",0.0756,0.0118224058465272,500
"Null",150,0.3,TRUE,FALSE,3,"0;0;0;0;0",1,500,"Kupiec_mean_rejection_rate",0.0572,0.0103853897375111,500
"Null",150,0.3,TRUE,FALSE,8,"0;0;0;0;0",1,500,"WRC",0.076,0.0118510759005248,500
"Null",150,0.3,TRUE,FALSE,8,"0;0;0;0;0",1,500,"SPA",0.094,0.0130509769749241,500
"Null",150,0.3,TRUE,FALSE,8,"0;0;0;0;0",1,500,"CPA",0.09,0.0127984374046209,500
"Null",150,0.3,TRUE,FALSE,8,"0;0;0;0;0",1,500,"KLIC",0.08,0.0121326007104825,500
"Null",150,0.3,TRUE,FALSE,8,"0;0;0;0;0",1,500,"ZP",0.032,0.00787095928079926,500
"Null",150,0.3,TRUE,FALSE,8,"0;0;0;0;0",1,500,"CDF_RC",0.01,0.0044497190922574,500
"Null",150,0.3,TRUE,FALSE,8,"0;0;0;0;0",1,500,"DM_mean_rejection_rate",0.078,0.0119929979571415,500
"Null",150,0.3,TRUE,FALSE,8,"0;0;0;0;0",1,500,"Kupiec_mean_rejection_rate",0.07,0.0114105214604767,500
"Alternative",100,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.718,0.0201234191925726,500
"Alternative",100,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.742,0.0195671152702691,500
"Alternative",100,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.586,0.0220274374360705,500
"Alternative",100,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",0.986,0.00525433154644813,500
"Alternative",100,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"ZP",0.148,0.0158805541465026,500
"Alternative",100,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CDF_RC",0.018,0.005945754788082,500
"Alternative",100,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"DM_mean_rejection_rate",0.3308,0.0210414524213515,500
"Alternative",100,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.9456,0.0101430409641291,500
"Alternative",150,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.83,0.016798809481627,500
"Alternative",150,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.83,0.016798809481627,500
"Alternative",150,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.752,0.0193130008025682,500
"Alternative",150,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",0.994,0.00345369367489359,500
"Alternative",150,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"ZP",0.188,0.0174731794473702,500
"Alternative",150,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CDF_RC",0.016,0.00561141693336006,500
"Alternative",150,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"DM_mean_rejection_rate",0.402,0.0219269696948758,500
"Alternative",150,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.986,0.00525433154644813,500
"Alternative",250,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.95,0.00974679434480897,500
"Alternative",250,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.948,0.00992935043192656,500
"Alternative",250,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.874,0.0148407546977908,500
"Alternative",250,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",1,0,500
"Alternative",250,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"ZP",0.328,0.020995999618975,500
"Alternative",250,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CDF_RC",0.002,0.00199799899899875,500
"Alternative",250,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"DM_mean_rejection_rate",0.492,0.0223578174247846,500
"Alternative",250,0.3,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.9992,0.00126440499840836,500
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.978,0.00655987804764693,500
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.982,0.005945754788082,500
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.868,0.0151377673386798,500
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",1,0,500
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"ZP",0.242,0.0191539029965174,500
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CDF_RC",0.008,0.0039839678713564,500
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"DM_mean_rejection_rate",0.4944,0.0223592772691784,500
"Alternative",150,0,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.9932,0.00367525781408598,500
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.558,0.0222097275985096,500
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"SPA",0.57,0.0221404606998138,500
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CPA",0.496,0.0223599642217961,500
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"KLIC",0.988,0.00486949689393063,500
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"ZP",0.156,0.0162273842624127,500
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"CDF_RC",0.014,0.00525433154644813,500
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"DM_mean_rejection_rate",0.27,0.0198544705293292,500
"Alternative",150,0.6,TRUE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"Kupiec_mean_rejection_rate",0.946,0.0101078187557949,500
"Alternative",150,0.3,FALSE,FALSE,5,"0.3;0.3;0.15;0;0",0.6,500,"WRC",0.916,0.0124051602166195,500
