"Test","Statistic","P_value","Decision"
"WRC MSE","7.2163","0.010","Reject H0"
"SPA MSE consistent","0.3260","< 0.001","Reject H0"
"SPA MSE conservative","0.3260","0.469","Fail to reject H0"
"CPA MSE","0.3208","< 0.001","Reject H0"
"WRC MAE","0.7559","0.003","Reject H0"
"SPA MAE consistent","0.3521","< 0.001","Reject H0"
"SPA MAE conservative","0.3521","0.515","Fail to reject H0"
"CPA MAE","0.3475","< 0.001","Reject H0"
"WRC MASE","0.1601","0.002","Reject H0"
"SPA MASE consistent","0.3521","< 0.001","Reject H0"
"SPA MASE conservative","0.3521","0.532","Fail to reject H0"
"CPA MASE","0.3475","< 0.001","Reject H0"
"ZP","-0.1742","0.998","Fail to reject H0"
"KLIC","-0.0781",">= 0.999","Fail to reject H0"
"CDF-RC","0.2507","0.026","Reject H0"
