"Test","Statistic","P_value","Decision"
"WRC MSE",7.21631963482965,0.01001001001001,"Reject H0"
"SPA MSE consistent",0.325962136403313,0,"Reject H0"
"SPA MSE conservative",0.325962136403313,0.46946946946947,"Fail to reject H0"
"CPA MSE",0.320832754532348,0,"Reject H0"
"WRC MAE",0.755901643289789,0.003003003003003,"Reject H0"
"SPA MAE consistent",0.35210977249949,0,"Reject H0"
"SPA MAE conservative",0.35210977249949,0.514514514514514,"Fail to reject H0"
"CPA MAE",0.347531946766493,0,"Reject H0"
"WRC MASE",0.160083926275728,0.002002002002002,"Reject H0"
"SPA MASE consistent",0.35210977249949,0,"Reject H0"
"SPA MASE conservative",0.35210977249949,0.531531531531532,"Fail to reject H0"
"CPA MASE",0.347531946766493,0,"Reject H0"
"ZP",-0.174176438022869,0.997997997997998,"Fail to reject H0"
"KLIC",-0.0781072149037046,1,"Fail to reject H0"
"CDF-RC",0.250714150116285,0.026026026026026,"Reject H0"
