"Model","Mean_Loss_Diff","Frac_Better_Than_Benchmark","T_Stat","P_Value","P_Value_Boot","Significant","Significant_Boot"
"DMA","7.216320","0.636","4.1744","< 0.001","0.002",TRUE,TRUE
"BDMM-SS","6.981701","0.612","4.0625","< 0.001","< 0.001",TRUE,TRUE
"DMA-K","6.907846","0.630","3.8422","< 0.001","< 0.001",TRUE,TRUE
"B-LASSO","6.484679","0.624","3.3495","< 0.001","0.005",TRUE,TRUE
"BDMM-NR","6.479028","0.636","3.6569","< 0.001","< 0.001",TRUE,TRUE
"B-RIDGE","6.293821","0.582","3.2694","0.001","0.006",TRUE,TRUE
"BDMM-K","6.097398","0.624","3.4912","< 0.001","0.004",TRUE,TRUE
"BMA","5.868926","0.612","2.8974","0.004","0.007",TRUE,TRUE
"DMS","5.713067","0.624","3.0827","0.002","0.003",TRUE,TRUE
"BMS","5.017873","0.570","2.6652","0.009","0.009",TRUE,TRUE
"TVP-REG","2.286021","0.485","1.0061","0.316","0.328",FALSE,FALSE
"TVP-K","1.217214","0.552","0.5989","0.550","0.544",FALSE,FALSE
"Lin_reg","-4.934720","0.461","-1.4633","0.145","0.163",FALSE,FALSE
