"Model","Mean_Loss_Diff","Frac_Better_Than_Benchmark","T_Stat","P_Value","P_Value_Boot","Significant","Significant_Boot","Loss_Measure"
"DMA",7.21632,0.636,4.1744,0,0.002,TRUE,TRUE,"MSE"
"BDMM-SS",6.981701,0.612,4.0625,1e-04,0.001,TRUE,TRUE,"MSE"
"DMA-K",6.907846,0.63,3.8422,2e-04,0.001,TRUE,TRUE,"MSE"
"B-LASSO",6.484679,0.624,3.3495,0.001,0.005,TRUE,TRUE,"MSE"
"BDMM-NR",6.479028,0.636,3.6569,3e-04,0.001,TRUE,TRUE,"MSE"
"B-RIDGE",6.293821,0.582,3.2694,0.0013,0.006,TRUE,TRUE,"MSE"
"BDMM-K",6.097398,0.624,3.4912,6e-04,0.004,TRUE,TRUE,"MSE"
"BMA",5.868926,0.612,2.8974,0.0043,0.007,TRUE,TRUE,"MSE"
"DMS",5.713067,0.624,3.0827,0.0024,0.003,TRUE,TRUE,"MSE"
"BMS",5.017873,0.57,2.6652,0.0085,0.009,TRUE,TRUE,"MSE"
"TVP-REG",2.286021,0.485,1.0061,0.3159,0.328,FALSE,FALSE,"MSE"
"TVP-K",1.217214,0.552,0.5989,0.55,0.544,FALSE,FALSE,"MSE"
"Lin_reg",-4.93472,0.461,-1.4633,0.1453,0.163,FALSE,FALSE,"MSE"
