"Model","Mean_Loss_Diff","Frac_Better_Than_Benchmark","T_Stat","P_Value","P_Value_Boot","Significant","Significant_Boot","Loss_Measure"
"DMA",7.21632,0.636,4.1744,0,0.002,TRUE,TRUE,"MSE"
"BDMM-SS",6.981701,0.612,4.0625,1e-04,0.001,TRUE,TRUE,"MSE"
"DMA-K",6.907846,0.63,3.8422,2e-04,0.001,TRUE,TRUE,"MSE"
"B-LASSO",6.484679,0.624,3.3495,0.001,0.005,TRUE,TRUE,"MSE"
"BDMM-NR",6.479028,0.636,3.6569,3e-04,0.001,TRUE,TRUE,"MSE"
"B-RIDGE",6.293821,0.582,3.2694,0.0013,0.006,TRUE,TRUE,"MSE"
"BDMM-K",6.097398,0.624,3.4912,6e-04,0.004,TRUE,TRUE,"MSE"
"BMA",5.868926,0.612,2.8974,0.0043,0.007,TRUE,TRUE,"MSE"
"DMS",5.713067,0.624,3.0827,0.0024,0.003,TRUE,TRUE,"MSE"
"BMS",5.017873,0.57,2.6652,0.0085,0.009,TRUE,TRUE,"MSE"
"TVP-REG",2.286021,0.485,1.0061,0.3159,0.328,FALSE,FALSE,"MSE"
"TVP-K",1.217214,0.552,0.5989,0.55,0.544,FALSE,FALSE,"MSE"
"Lin_reg",-4.93472,0.461,-1.4633,0.1453,0.163,FALSE,FALSE,"MSE"
"BDMM-SS",0.755902,0.612,4.5092,0,0.001,TRUE,TRUE,"MAE"
"DMA",0.747482,0.636,4.2443,0,0.001,TRUE,TRUE,"MAE"
"BDMM-K",0.698109,0.624,4.1018,1e-04,0.001,TRUE,TRUE,"MAE"
"DMA-K",0.681706,0.63,3.7915,2e-04,0.001,TRUE,TRUE,"MAE"
"BDMM-NR",0.672441,0.636,4.0103,1e-04,0.001,TRUE,TRUE,"MAE"
"B-LASSO",0.668802,0.624,3.6488,4e-04,0.005,TRUE,TRUE,"MAE"
"B-RIDGE",0.639815,0.582,3.6015,4e-04,0.001,TRUE,TRUE,"MAE"
"BMA",0.605466,0.612,3.3093,0.0012,0.002,TRUE,TRUE,"MAE"
"DMS",0.600192,0.624,3.591,4e-04,0.001,TRUE,TRUE,"MAE"
"BMS",0.467035,0.57,2.6162,0.0097,0.011,TRUE,TRUE,"MAE"
"TVP-K",0.292528,0.552,1.3786,0.1699,0.181,FALSE,FALSE,"MAE"
"TVP-REG",0.250864,0.485,1.1753,0.2416,0.282,FALSE,FALSE,"MAE"
"Lin_reg",-0.120142,0.461,-0.4757,0.6349,0.613,FALSE,FALSE,"MAE"
"BDMM-SS",0.160084,0.612,4.5092,0,0.001,TRUE,TRUE,"MASE"
"DMA",0.158301,0.636,4.2443,0,0.001,TRUE,TRUE,"MASE"
"BDMM-K",0.147845,0.624,4.1018,1e-04,0.001,TRUE,TRUE,"MASE"
"DMA-K",0.144371,0.63,3.7915,2e-04,0.001,TRUE,TRUE,"MASE"
"BDMM-NR",0.142409,0.636,4.0103,1e-04,0.001,TRUE,TRUE,"MASE"
"B-LASSO",0.141638,0.624,3.6488,4e-04,0.005,TRUE,TRUE,"MASE"
"B-RIDGE",0.135499,0.582,3.6015,4e-04,0.001,TRUE,TRUE,"MASE"
"BMA",0.128225,0.612,3.3093,0.0012,0.002,TRUE,TRUE,"MASE"
"DMS",0.127108,0.624,3.591,4e-04,0.001,TRUE,TRUE,"MASE"
"BMS",0.098908,0.57,2.6162,0.0097,0.011,TRUE,TRUE,"MASE"
"TVP-K",0.061951,0.552,1.3786,0.1699,0.181,FALSE,FALSE,"MASE"
"TVP-REG",0.053128,0.485,1.1753,0.2416,0.282,FALSE,FALSE,"MASE"
"Lin_reg",-0.025444,0.461,-0.4757,0.6349,0.613,FALSE,FALSE,"MASE"
