"Model","Mean_Loss_Diff","Frac_Better_Than_Benchmark","T_Stat","P_Value","P_Value_Boot","Significant","Significant_Boot","Loss_Measure"
"BDMM-SS",0.755902,0.612,4.5092,0,0.001,TRUE,TRUE,"MAE"
"DMA",0.747482,0.636,4.2443,0,0.001,TRUE,TRUE,"MAE"
"BDMM-K",0.698109,0.624,4.1018,1e-04,0.001,TRUE,TRUE,"MAE"
"DMA-K",0.681706,0.63,3.7915,2e-04,0.001,TRUE,TRUE,"MAE"
"BDMM-NR",0.672441,0.636,4.0103,1e-04,0.001,TRUE,TRUE,"MAE"
"B-LASSO",0.668802,0.624,3.6488,4e-04,0.005,TRUE,TRUE,"MAE"
"B-RIDGE",0.639815,0.582,3.6015,4e-04,0.001,TRUE,TRUE,"MAE"
"BMA",0.605466,0.612,3.3093,0.0012,0.002,TRUE,TRUE,"MAE"
"DMS",0.600192,0.624,3.591,4e-04,0.001,TRUE,TRUE,"MAE"
"BMS",0.467035,0.57,2.6162,0.0097,0.011,TRUE,TRUE,"MAE"
"TVP-K",0.292528,0.552,1.3786,0.1699,0.181,FALSE,FALSE,"MAE"
"TVP-REG",0.250864,0.485,1.1753,0.2416,0.282,FALSE,FALSE,"MAE"
"Lin_reg",-0.120142,0.461,-0.4757,0.6349,0.613,FALSE,FALSE,"MAE"
