"Model","Violations","Expected","Kupiec_LR_UC","Kupiec_p_value","Mean_ZP_Loss"
"BDMM-SS",11,8.25,"0.8775","0.349","0.010071"
"BDMM-NR",7,8.25,"0.2097","0.647","0.010431"
"BDMM-K",10,8.25,"0.3670","0.545","0.009111"
"DMA",11,8.25,"0.8775","0.349","0.009348"
"DMS",9,8.25,"0.0698","0.792","0.011403"
"DMA-K",11,8.25,"0.8775","0.349","0.009468"
"B-LASSO",10,8.25,"0.3670","0.545","0.011335"
"B-RIDGE",10,8.25,"0.3670","0.545","0.011535"
"BMA",7,8.25,"0.2097","0.647","0.012942"
"BMS",8,8.25,"0.0081","0.928","0.014629"
"TVP-REG",8,8.25,"0.0081","0.928","0.017065"
"TVP-K",7,8.25,"0.2097","0.647","0.022553"
"Lin_reg",9,8.25,"0.0698","0.792","0.029108"
