"Package","Installed","Version","Function","Audit_Date"
"RCtest",TRUE,"1.0","compute_crps","2026-08-23"
"RCtest",TRUE,"1.0","compute_klic","2026-08-23"
"RCtest",TRUE,"1.0","compute_kupiec","2026-08-23"
"RCtest",TRUE,"1.0","compute_per_model_statistics","2026-08-23"
"RCtest",TRUE,"1.0","compute_zp","2026-08-23"
"RCtest",TRUE,"1.0","create_unified_summary","2026-08-23"
"RCtest",TRUE,"1.0","estimate_forecast_variance","2026-08-23"
"RCtest",TRUE,"1.0","estimate_long_run_covariance","2026-08-23"
"RCtest",TRUE,"1.0","extract_and_flatten_results_aggregated","2026-08-23"
"RCtest",TRUE,"1.0","generate_comprehensive_report","2026-08-23"
"RCtest",TRUE,"1.0","kullback_leibler_test","2026-08-23"
"RCtest",TRUE,"1.0","mbb_resample_data","2026-08-23"
"RCtest",TRUE,"1.0","plot_cumulative_loss","2026-08-23"
"RCtest",TRUE,"1.0","plot_density_forecast","2026-08-23"
"RCtest",TRUE,"1.0","plot_performance_metrics","2026-08-23"
"RCtest",TRUE,"1.0","reality_check_zp_test","2026-08-23"
"RCtest",TRUE,"1.0","run_comprehensive_erc_analysis","2026-08-23"
"RCtest",TRUE,"1.0","superior_predictive_ability_test","2026-08-23"
"RCtest",TRUE,"1.0","white_reality_check","2026-08-23"
"RCtest",TRUE,"1.0","white_reality_check_cdf_approx","2026-08-23"
"RCtest",TRUE,"1.0","white_reality_check_conditional","2026-08-23"
"forecast",TRUE,"9.0.2","%>%","2026-08-23"
"forecast",TRUE,"9.0.2","accuracy","2026-08-23"
"forecast",TRUE,"9.0.2","Acf","2026-08-23"
"forecast",TRUE,"9.0.2","arfima","2026-08-23"
"forecast",TRUE,"9.0.2","Arima","2026-08-23"
"forecast",TRUE,"9.0.2","arima.errors","2026-08-23"
"forecast",TRUE,"9.0.2","arimaorder","2026-08-23"
"forecast",TRUE,"9.0.2","auto.arima","2026-08-23"
"forecast",TRUE,"9.0.2","autolayer","2026-08-23"
"forecast",TRUE,"9.0.2","autoplot","2026-08-23"
"forecast",TRUE,"9.0.2","baggedETS","2026-08-23"
"forecast",TRUE,"9.0.2","baggedModel","2026-08-23"
"forecast",TRUE,"9.0.2","bats","2026-08-23"
"forecast",TRUE,"9.0.2","bizdays","2026-08-23"
"forecast",TRUE,"9.0.2","bld.mbb.bootstrap","2026-08-23"
"forecast",TRUE,"9.0.2","BoxCox","2026-08-23"
"forecast",TRUE,"9.0.2","BoxCox.lambda","2026-08-23"
"forecast",TRUE,"9.0.2","Ccf","2026-08-23"
"forecast",TRUE,"9.0.2","checkresiduals","2026-08-23"
"forecast",TRUE,"9.0.2","croston","2026-08-23"
"forecast",TRUE,"9.0.2","croston_model","2026-08-23"
"forecast",TRUE,"9.0.2","CV","2026-08-23"
"forecast",TRUE,"9.0.2","CVar","2026-08-23"
"forecast",TRUE,"9.0.2","dm.test","2026-08-23"
"forecast",TRUE,"9.0.2","dshw","2026-08-23"
"forecast",TRUE,"9.0.2","easter","2026-08-23"
"forecast",TRUE,"9.0.2","ets","2026-08-23"
"forecast",TRUE,"9.0.2","findfrequency","2026-08-23"
"forecast",TRUE,"9.0.2","forecast","2026-08-23"
"forecast",TRUE,"9.0.2","forecast.ets","2026-08-23"
"forecast",TRUE,"9.0.2","fourier","2026-08-23"
"forecast",TRUE,"9.0.2","fourierf","2026-08-23"
"forecast",TRUE,"9.0.2","geom_forecast","2026-08-23"
"forecast",TRUE,"9.0.2","getResponse","2026-08-23"
"forecast",TRUE,"9.0.2","ggAcf","2026-08-23"
"forecast",TRUE,"9.0.2","ggCcf","2026-08-23"
"forecast",TRUE,"9.0.2","gghistogram","2026-08-23"
"forecast",TRUE,"9.0.2","gglagchull","2026-08-23"
"forecast",TRUE,"9.0.2","gglagplot","2026-08-23"
"forecast",TRUE,"9.0.2","ggmonthplot","2026-08-23"
"forecast",TRUE,"9.0.2","ggPacf","2026-08-23"
"forecast",TRUE,"9.0.2","ggseasonplot","2026-08-23"
"forecast",TRUE,"9.0.2","ggsubseriesplot","2026-08-23"
"forecast",TRUE,"9.0.2","ggtaperedacf","2026-08-23"
"forecast",TRUE,"9.0.2","ggtaperedpacf","2026-08-23"
"forecast",TRUE,"9.0.2","ggtsdisplay","2026-08-23"
"forecast",TRUE,"9.0.2","holt","2026-08-23"
"forecast",TRUE,"9.0.2","hw","2026-08-23"
"forecast",TRUE,"9.0.2","InvBoxCox","2026-08-23"
"forecast",TRUE,"9.0.2","is.acf","2026-08-23"
"forecast",TRUE,"9.0.2","is.Arima","2026-08-23"
"forecast",TRUE,"9.0.2","is.baggedModel","2026-08-23"
"forecast",TRUE,"9.0.2","is.bats","2026-08-23"
"forecast",TRUE,"9.0.2","is.constant","2026-08-23"
"forecast",TRUE,"9.0.2","is.ets","2026-08-23"
"forecast",TRUE,"9.0.2","is.forecast","2026-08-23"
"forecast",TRUE,"9.0.2","is.mforecast","2026-08-23"
"forecast",TRUE,"9.0.2","is.modelAR","2026-08-23"
"forecast",TRUE,"9.0.2","is.nnetar","2026-08-23"
"forecast",TRUE,"9.0.2","is.nnetarmodels","2026-08-23"
"forecast",TRUE,"9.0.2","is.splineforecast","2026-08-23"
"forecast",TRUE,"9.0.2","is.stlm","2026-08-23"
"forecast",TRUE,"9.0.2","ma","2026-08-23"
"forecast",TRUE,"9.0.2","mean_model","2026-08-23"
"forecast",TRUE,"9.0.2","meanf","2026-08-23"
"forecast",TRUE,"9.0.2","modelAR","2026-08-23"
"forecast",TRUE,"9.0.2","modeldf","2026-08-23"
"forecast",TRUE,"9.0.2","monthdays","2026-08-23"
"forecast",TRUE,"9.0.2","mstl","2026-08-23"
"forecast",TRUE,"9.0.2","msts","2026-08-23"
"forecast",TRUE,"9.0.2","na.interp","2026-08-23"
"forecast",TRUE,"9.0.2","naive","2026-08-23"
"forecast",TRUE,"9.0.2","ndiffs","2026-08-23"
"forecast",TRUE,"9.0.2","nnetar","2026-08-23"
"forecast",TRUE,"9.0.2","nsdiffs","2026-08-23"
"forecast",TRUE,"9.0.2","ocsb.test","2026-08-23"
"forecast",TRUE,"9.0.2","Pacf","2026-08-23"
"forecast",TRUE,"9.0.2","remainder","2026-08-23"
"forecast",TRUE,"9.0.2","rw_model","2026-08-23"
"forecast",TRUE,"9.0.2","rwf","2026-08-23"
"forecast",TRUE,"9.0.2","seasadj","2026-08-23"
"forecast",TRUE,"9.0.2","seasonal","2026-08-23"
