"Package","Version","Keyword","Export_Matches","Help_Matches","Audit_Date"
"RCtest","1.2.0","reality","reality_check_zp_test; white_reality_check; white_reality_check_cdf_approx; white_reality_check_conditional","RCtest::reality_check_zp_test; RCtest::white_reality_check; RCtest::white_reality_check_cdf_approx; RCtest::white_reality_check_conditional","2026-08-24"
"RCtest","1.2.0","white","white_reality_check; white_reality_check_cdf_approx; white_reality_check_conditional","RCtest::white_reality_check; RCtest::white_reality_check_cdf_approx; RCtest::white_reality_check_conditional","2026-08-24"
"RCtest","1.2.0","spa","","RCtest::superior_predictive_ability_test","2026-08-24"
"RCtest","1.2.0","superior","superior_predictive_ability_test","RCtest::superior_predictive_ability_test","2026-08-24"
"RCtest","1.2.0","conditional","white_reality_check_conditional","RCtest::compute_kupiec; RCtest::white_reality_check_conditional","2026-08-24"
"RCtest","1.2.0","cpa","","RCtest::white_reality_check_conditional","2026-08-24"
"RCtest","1.2.0","diebold","","RCtest::compute_per_model_statistics","2026-08-24"
"RCtest","1.2.0","mariano","","RCtest::compute_per_model_statistics","2026-08-24"
"RCtest","1.2.0","dm","","","2026-08-24"
"RCtest","1.2.0","crps","compute_crps","RCtest::compute_crps","2026-08-24"
"RCtest","1.2.0","score","","RCtest::compute_crps; RCtest::compute_klic","2026-08-24"
"RCtest","1.2.0","log","","RCtest::compute_klic","2026-08-24"
"RCtest","1.2.0","klic","compute_klic","RCtest::compute_klic; RCtest::kullback_leibler_test","2026-08-24"
"RCtest","1.2.0","density","plot_density_forecast","RCtest::plot_density_forecast","2026-08-24"
"RCtest","1.2.0","zp","compute_zp; reality_check_zp_test","RCtest::compute_zp; RCtest::reality_check_zp_test","2026-08-24"
"RCtest","1.2.0","var","estimate_forecast_variance; estimate_long_run_covariance","RCtest::compute_kupiec; RCtest::estimate_forecast_variance; RCtest::estimate_long_run_covariance","2026-08-24"
"RCtest","1.2.0","kupiec","compute_kupiec","RCtest::compute_kupiec","2026-08-24"
"RCtest","1.2.0","christoffersen","","","2026-08-24"
"RCtest","1.2.0","quantile","","RCtest::compute_zp; RCtest::reality_check_zp_test","2026-08-24"
"RCtest","1.2.0","backtest","","","2026-08-24"
"RCtest","1.2.0","expected","","RCtest::white_reality_check_cdf_approx","2026-08-24"
"RCtest","1.2.0","shortfall","","","2026-08-24"
"RCtest","1.2.0","es","estimate_forecast_variance; estimate_long_run_covariance; extract_and_flatten_results_aggregated; kullback_leibler_test; mbb_resample_data; reality_check_zp_test; superior_predictive_ability_test","RCtest::compute_klic; RCtest::compute_kupiec; RCtest::compute_per_model_statistics; RCtest::estimate_forecast_variance; RCtest::estimate_long_run_covariance; RCtest::extract_and_flatten_results_aggregated; RCtest::kullback_leibler_test; RCtest::mbb_resample_data; RCtest::metals; RCtest::plot_cumulative_loss; RCtest::reality_check_zp_test; RCtest::superior_predictive_ability_test; RCtest::white_reality_check_conditional","2026-08-24"
"RCtest","1.2.0","model","compute_per_model_statistics","RCtest::compute_per_model_statistics","2026-08-24"
"RCtest","1.2.0","confidence","","","2026-08-24"
"RCtest","1.2.0","mcs","","","2026-08-24"
"forecast","9.0.2","reality","","","2026-08-24"
"forecast","9.0.2","white","","forecast::checkresiduals","2026-08-24"
"forecast","9.0.2","spa","","forecast::bats; forecast::ets; forecast::tbats","2026-08-24"
"forecast","9.0.2","superior","","","2026-08-24"
"forecast","9.0.2","conditional","","","2026-08-24"
"forecast","9.0.2","cpa","","","2026-08-24"
"forecast","9.0.2","diebold","","forecast::dm.test","2026-08-24"
"forecast","9.0.2","mariano","","forecast::dm.test","2026-08-24"
"forecast","9.0.2","dm","baggedModel; dm.test; is.baggedModel","forecast::baggedModel; forecast::dm.test; forecast::forecast.baggedModel; forecast::getResponse; forecast::is.acf; forecast::JSS2008","2026-08-24"
"forecast","9.0.2","crps","","","2026-08-24"
"forecast","9.0.2","score","","","2026-08-24"
"forecast","9.0.2","log","","","2026-08-24"
"forecast","9.0.2","klic","","","2026-08-24"
"forecast","9.0.2","density","","forecast::gghistogram","2026-08-24"
"forecast","9.0.2","zp","","","2026-08-24"
"forecast","9.0.2","var","CVar","forecast::Arima; forecast::auto.arima; forecast::autoplot.mforecast; forecast::CVar; forecast::getResponse; forecast::residuals.forecast; forecast::seasonaldummy","2026-08-24"
"forecast","9.0.2","kupiec","","","2026-08-24"
"forecast","9.0.2","christoffersen","","","2026-08-24"
"forecast","9.0.2","quantile","","","2026-08-24"
"forecast","9.0.2","backtest","","","2026-08-24"
"forecast","9.0.2","expected","","","2026-08-24"
"forecast","9.0.2","shortfall","","","2026-08-24"
