"Model","RCtest_LR_Statistic","RCtest_P_Value","RCtest_Actual_Exceedances","RCtest_Expected_Exceedances"
"BDMM-SS",0.877535847323716,0.348877480284074,11,8.25
"BDMM-NR",0.209698992326135,0.647003433056965,7,8.25
"BDMM-K",0.367048448876282,0.54461752849098,10,8.25
"DMA",0.877535847323716,0.348877480284074,11,8.25
"DMS",0.069799039603517,0.791629603028256,9,8.25
"DMA-K",0.877535847323716,0.348877480284074,11,8.25
"B-LASSO",0.367048448876282,0.54461752849098,10,8.25
"B-RIDGE",0.367048448876282,0.54461752849098,10,8.25
"BMA",0.209698992326135,0.647003433056965,7,8.25
"BMS",0.00805197360924749,0.92849955835332,8,8.25
"TVP-REG",0.00805197360924749,0.92849955835332,8,8.25
"TVP-K",0.209698992326135,0.647003433056965,7,8.25
"Lin_reg",0.069799039603517,0.791629603028256,9,8.25
